testcase,result
Positive_SetAttribSystemSharedT0DevFrdNameAutoalloc_P0,PRODUCT
Positive_SetAttribUserSharedT0DevFrdNameAutoalloc_P0,PRODUCT
Positive_SetAttribSystemSharedT0DevSysNameAutoalloc_P0,PRODUCT
Positive_SetAttribUserSharedT0DevSysNameAutoalloc_P0,PRODUCT
Positive_SetAttribSystemSharedT0ICCInterStsAutoalloc_P0,PRODUCT
Positive_SetAttribUserSharedT0ICCInterStsAutoalloc_P0,PRODUCT
Positive_SetAttribSystemSharedT0ICCPreAutoalloc_P0,PRODUCT
Positive_SetAttribUserSharedT0ICCPreAutoalloc_P0,PRODUCT
Positive_SetAttribSystemSharedT0VenIFDVerAutoalloc_P0,PRODUCT
Positive_SetAttribUserSharedT0VenIFDVerAutoalloc_P0,PRODUCT
Positive_SetAttribSystemSharedT0VenNameAutoalloc_P0,PRODUCT
Positive_SetAttribUserSharedT0VenNameAutoalloc_P0,PRODUCT
Positive_StateSystemSharedT0ValidValidEnoughPrealloc_P0,PRODUCT
Positive_StateUserSharedT0ValidValidEnoughPrealloc_P0,PRODUCT
Positive_StateSystemSharedT0ValidValidAutoAlloc_P0,PRODUCT
Positive_StateUserSharedT0ValidValidAutoAlloc_P0,PRODUCT
